value,mimic_iv_probability,nu_probability,ucmc_probability
426.0,,,0.7977731293851048
427.0,,0.6880244088482075,0.7981435481762322
428.0,,,0.7985575456486687
429.0,,0.6887871853546911,0.7987754390552142
430.0,0.759965540402418,,0.7992765938902688
431.0,,0.6892957030256801,0.7996034340000872
432.0,,0.6898042206966692,0.799755959384669
433.0,,,0.7999956421318691
434.0,,0.6903127383676583,0.8002789035603782
435.0,,,0.800583954329542
436.0,,0.6905669972031528,0.800976162461324
437.0,,,0.8013901599337604
438.0,,,0.8017605787248878
439.0,,0.6908212560386473,0.8021092081753606
440.0,0.7630610635750372,0.6915840325451309,0.8025014163071426
441.0,,,0.8028282564169609
